location,bhk,sqft,area_unit,price_lakh,price_text,price_per_sqft,property_name
"Bommasandra, Bangalore",5.0,2600.0,sqft,219.99,2.2 Cr,8461.0,SKR Gardens
"5th Block Hbr Layout, HBR Layout",12.0,1200.0,sqft,380.0,3.8 Cr,31666.0,
"Sarjapur Road, Bangalore",4.0,3040.0,sqft,225.0,2.25  - 3.28 Cr,9087.0,CasaLife by Bhavisha Homes
"Whitefield, Bangalore",5.0,4629.0,sqft,381.38,3.81  - 6.65 Cr,11299.0,DSR Elixir
"Whitefield, Bangalore",4.0,4879.5,sqft,490.53,4.91  - 6.12 Cr,11300.0,DSR Elixir
"Whitefield, Bangalore",4.0,3476.0,sqft,232.94,2.33  - 4.28 Cr,9500.0,The Berries For Birds
"Whitefield, Bangalore",3.0,1900.0,sqft,225.0,2.25 Cr,11842.0,The Berries For Birds
"Whitefield, Bangalore",4.0,2970.0,sqft,299.04,2.99  - 3.24 Cr,10490.0,SJ Park Ville
"Attibele, Bangalore",4.0,2584.0,sqft,198.0,1.98  - 2.7 Cr,9061.0,Ira By The Banks
"Sarjapur Road, Bangalore",4.0,3535.0,sqft,226.8,2.27  - 2.68 Cr,7000.0,Yash Dream Scape
"Attibele, Bangalore",3.0,2225.5,sqft,180.0,1.8  - 2.45 Cr,9513.0,Ira By The Banks
"Budigere Cross, Bangalore",4.0,3500.0,sqft,290.0,2.9  - 4.61 Cr,10984.0,Konig Fortune County
"Whitefield, Bangalore",4.0,3325.0,sqft,210.0,2.1  - 4 Cr,8443.0,AR Belle Vie
"Sadahalli, Devanahalli",4.0,3000.0,sqft,341.25,3.41  - 4.46 Cr,13125.0,Konig Pearl County
"Sarjapur, Bangalore",3.0,2042.0,sqft,185.0,1.85  - 1.99 Cr,9399.0,Heritage Urban POD
"Sarjapura Attibele Road, Bangalore",4.0,2502.0,sqft,224.82,2.25  - 2.26 Cr,9000.0,Natura Earth Villas
"Sarjapura Attibele Road, Bangalore",3.0,2205.0,sqft,196.74,1.97  - 2 Cr,9000.0,Natura Earth Villas
"Hoskote, Bangalore",4.0,2927.5,sqft,269.0,2.69  - 3.09 Cr,9895.0,M1 Terra Alegria
"Hoskote, Bangalore",4.0,2927.5,sqft,279.0,2.79  - 2.99 Cr,9928.0,M1 Terra Alegria
"Varthur, Bangalore",4.0,3272.5,sqft,257.6,2.58  - 3.33 Cr,9029.0,SLN Nidhi Aura
"Sarjapur, Bangalore",4.0,2524.0,sqft,216.0,2.16  - 2.38 Cr,9000.0,Confident Atria
"Sarjapur, Bangalore",4.0,3252.0,sqft,213.07,2.13  - 3.4 Cr,8499.0,ATCO La Vivant
"Sarjapur Road, Bangalore",4.0,2740.0,sqft,161.66,1.62 Cr,5900.0,Palm Paradise by Westbury
"Sarjapur Road, Bangalore",4.0,4536.5,sqft,524.66,5.25  - 9.25 Cr,16002.0,Nambiar Ellegenza
"Sarjapur Road, Bangalore",5.0,3916.0,sqft,577.68,5.78  - 6.36 Cr,15500.0,Nambiar Ellegenza
"Varthur, Bangalore",4.0,3120.5,sqft,249.17,2.49  - 2.5 Cr,7999.0,Vaishno Luxuria
"Sarjapur Road, Bangalore",3.0,2762.0,sqft,510.24,5.1  - 6.38 Cr,20792.0,Nambiar Ellegenza
