location,latitude,longitude,time,pm10,pm2_5,carbon_monoxide
MG Road,12.9757,77.6011,2026-07-18 00:00:00,7.7,6.1,251.0
MG Road,12.9757,77.6011,2026-07-18 01:00:00,6.5,5.1,201.0
MG Road,12.9757,77.6011,2026-07-18 02:00:00,6.4,4.6,165.0
MG Road,12.9757,77.6011,2026-07-18 03:00:00,7.8,5.1,148.0
MG Road,12.9757,77.6011,2026-07-18 04:00:00,8.6,5.5,145.0
MG Road,12.9757,77.6011,2026-07-18 05:00:00,10.9,6.5,162.0
MG Road,12.9757,77.6011,2026-07-18 06:00:00,10.9,6.8,219.0
MG Road,12.9757,77.6011,2026-07-18 07:00:00,12.4,7.8,296.0
MG Road,12.9757,77.6011,2026-07-18 08:00:00,12.4,8.0,340.0
MG Road,12.9757,77.6011,2026-07-18 09:00:00,14.1,8.3,316.0
MG Road,12.9757,77.6011,2026-07-18 10:00:00,15.2,8.2,259.0
MG Road,12.9757,77.6011,2026-07-18 11:00:00,16.2,8.2,216.0
MG Road,12.9757,77.6011,2026-07-18 12:00:00,17.9,8.5,200.0
MG Road,12.9757,77.6011,2026-07-18 13:00:00,20.5,9.0,198.0
MG Road,12.9757,77.6011,2026-07-18 14:00:00,25.6,10.5,218.0
MG Road,12.9757,77.6011,2026-07-18 15:00:00,28.5,12.8,276.0
MG Road,12.9757,77.6011,2026-07-18 16:00:00,24.6,13.9,356.0
MG Road,12.9757,77.6011,2026-07-18 17:00:00,22.6,13.5,416.0
MG Road,12.9757,77.6011,2026-07-18 18:00:00,22.6,15.1,441.0
MG Road,12.9757,77.6011,2026-07-18 19:00:00,23.2,16.2,446.0
MG Road,12.9757,77.6011,2026-07-18 20:00:00,23.5,15.5,441.0
MG Road,12.9757,77.6011,2026-07-18 21:00:00,24.7,15.1,428.0
MG Road,12.9757,77.6011,2026-07-18 22:00:00,20.7,13.6,405.0
MG Road,12.9757,77.6011,2026-07-18 23:00:00,17.8,12.2,368.0
MG Road,12.9757,77.6011,2026-07-19 00:00:00,13.2,9.4,305.0
MG Road,12.9757,77.6011,2026-07-19 01:00:00,11.3,8.1,228.0
MG Road,12.9757,77.6011,2026-07-19 02:00:00,9.8,7.0,174.0
MG Road,12.9757,77.6011,2026-07-19 03:00:00,8.9,6.2,159.0
MG Road,12.9757,77.6011,2026-07-19 04:00:00,8.4,5.8,166.0
MG Road,12.9757,77.6011,2026-07-19 05:00:00,7.5,5.3,188.0
MG Road,12.9757,77.6011,2026-07-19 06:00:00,7.9,5.5,235.0
MG Road,12.9757,77.6011,2026-07-19 07:00:00,9.3,6.2,296.0
MG Road,12.9757,77.6011,2026-07-19 08:00:00,11.1,6.7,327.0
MG Road,12.9757,77.6011,2026-07-19 09:00:00,12.1,7.0,298.0
MG Road,12.9757,77.6011,2026-07-19 10:00:00,13.8,7.4,238.0
MG Road,12.9757,77.6011,2026-07-19 11:00:00,16.2,8.0,193.0
MG Road,12.9757,77.6011,2026-07-19 12:00:00,18.0,8.5,173.0
MG Road,12.9757,77.6011,2026-07-19 13:00:00,20.5,9.2,168.0
MG Road,12.9757,77.6011,2026-07-19 14:00:00,22.1,9.9,195.0
MG Road,12.9757,77.6011,2026-07-19 15:00:00,23.1,10.1,281.0
MG Road,12.9757,77.6011,2026-07-19 16:00:00,24.9,11.2,400.0
MG Road,12.9757,77.6011,2026-07-19 17:00:00,27.4,13.9,486.0
MG Road,12.9757,77.6011,2026-07-19 18:00:00,24.0,13.0,517.0
MG Road,12.9757,77.6011,2026-07-19 19:00:00,22.9,13.7,515.0
MG Road,12.9757,77.6011,2026-07-19 20:00:00,23.4,14.6,488.0
MG Road,12.9757,77.6011,2026-07-19 21:00:00,21.9,13.9,424.0
MG Road,12.9757,77.6011,2026-07-19 22:00:00,20.8,13.2,335.0
MG Road,12.9757,77.6011,2026-07-19 23:00:00,15.3,10.4,259.0
MG Road,12.9757,77.6011,2026-07-20 00:00:00,10.5,7.6,210.0
MG Road,12.9757,77.6011,2026-07-20 01:00:00,7.4,5.6,174.0
MG Road,12.9757,77.6011,2026-07-20 02:00:00,6.0,4.5,151.0
MG Road,12.9757,77.6011,2026-07-20 03:00:00,5.4,4.0,137.0
MG Road,12.9757,77.6011,2026-07-20 04:00:00,5.0,3.7,136.0
MG Road,12.9757,77.6011,2026-07-20 05:00:00,5.6,3.7,160.0
MG Road,12.9757,77.6011,2026-07-20 06:00:00,4.8,3.5,235.0
MG Road,12.9757,77.6011,2026-07-20 07:00:00,5.4,4.3,335.0
