location,latitude,longitude,time,temperature,humidity
MG Road,12.9757,77.6011,2026-07-27 00:00:00,21.8,86
MG Road,12.9757,77.6011,2026-07-27 01:00:00,21.4,88
MG Road,12.9757,77.6011,2026-07-27 02:00:00,21.2,88
MG Road,12.9757,77.6011,2026-07-27 03:00:00,20.8,90
MG Road,12.9757,77.6011,2026-07-27 04:00:00,20.7,91
MG Road,12.9757,77.6011,2026-07-27 05:00:00,21.4,89
MG Road,12.9757,77.6011,2026-07-27 06:00:00,21.5,89
MG Road,12.9757,77.6011,2026-07-27 07:00:00,22.5,84
MG Road,12.9757,77.6011,2026-07-27 08:00:00,23.8,75
MG Road,12.9757,77.6011,2026-07-27 09:00:00,25.4,65
MG Road,12.9757,77.6011,2026-07-27 10:00:00,26.2,63
MG Road,12.9757,77.6011,2026-07-27 11:00:00,27.7,54
MG Road,12.9757,77.6011,2026-07-27 12:00:00,28.4,54
MG Road,12.9757,77.6011,2026-07-27 13:00:00,28.3,54
MG Road,12.9757,77.6011,2026-07-27 14:00:00,28.2,56
MG Road,12.9757,77.6011,2026-07-27 15:00:00,28.2,56
MG Road,12.9757,77.6011,2026-07-27 16:00:00,26.4,63
MG Road,12.9757,77.6011,2026-07-27 17:00:00,27.4,56
MG Road,12.9757,77.6011,2026-07-27 18:00:00,26.3,60
MG Road,12.9757,77.6011,2026-07-27 19:00:00,24.9,68
MG Road,12.9757,77.6011,2026-07-27 20:00:00,24.1,74
MG Road,12.9757,77.6011,2026-07-27 21:00:00,23.8,76
MG Road,12.9757,77.6011,2026-07-27 22:00:00,23.1,80
MG Road,12.9757,77.6011,2026-07-27 23:00:00,23.0,80
MG Road,12.9757,77.6011,2026-07-28 00:00:00,22.4,83
MG Road,12.9757,77.6011,2026-07-28 01:00:00,22.0,87
MG Road,12.9757,77.6011,2026-07-28 02:00:00,21.8,89
MG Road,12.9757,77.6011,2026-07-28 03:00:00,21.5,90
MG Road,12.9757,77.6011,2026-07-28 04:00:00,21.3,90
MG Road,12.9757,77.6011,2026-07-28 05:00:00,21.4,89
MG Road,12.9757,77.6011,2026-07-28 06:00:00,21.2,90
MG Road,12.9757,77.6011,2026-07-28 07:00:00,22.2,84
MG Road,12.9757,77.6011,2026-07-28 08:00:00,23.7,75
MG Road,12.9757,77.6011,2026-07-28 09:00:00,25.0,68
MG Road,12.9757,77.6011,2026-07-28 10:00:00,26.7,61
MG Road,12.9757,77.6011,2026-07-28 11:00:00,27.1,58
MG Road,12.9757,77.6011,2026-07-28 12:00:00,28.9,51
MG Road,12.9757,77.6011,2026-07-28 13:00:00,29.7,50
MG Road,12.9757,77.6011,2026-07-28 14:00:00,29.6,50
MG Road,12.9757,77.6011,2026-07-28 15:00:00,26.9,61
MG Road,12.9757,77.6011,2026-07-28 16:00:00,26.8,64
MG Road,12.9757,77.6011,2026-07-28 17:00:00,27.4,56
MG Road,12.9757,77.6011,2026-07-28 18:00:00,25.9,63
MG Road,12.9757,77.6011,2026-07-28 19:00:00,24.7,69
MG Road,12.9757,77.6011,2026-07-28 20:00:00,23.9,73
MG Road,12.9757,77.6011,2026-07-28 21:00:00,22.9,78
MG Road,12.9757,77.6011,2026-07-28 22:00:00,22.2,82
MG Road,12.9757,77.6011,2026-07-28 23:00:00,22.4,83
MG Road,12.9757,77.6011,2026-07-29 00:00:00,21.9,87
MG Road,12.9757,77.6011,2026-07-29 01:00:00,21.7,88
MG Road,12.9757,77.6011,2026-07-29 02:00:00,21.7,88
MG Road,12.9757,77.6011,2026-07-29 03:00:00,21.6,88
MG Road,12.9757,77.6011,2026-07-29 04:00:00,21.7,87
MG Road,12.9757,77.6011,2026-07-29 05:00:00,21.7,88
MG Road,12.9757,77.6011,2026-07-29 06:00:00,21.7,89
MG Road,12.9757,77.6011,2026-07-29 07:00:00,22.4,86
MG Road,12.9757,77.6011,2026-07-29 08:00:00,23.8,76
MG Road,12.9757,77.6011,2026-07-29 09:00:00,25.6,65
MG Road,12.9757,77.6011,2026-07-29 10:00:00,25.9,63
MG Road,12.9757,77.6011,2026-07-29 11:00:00,27.4,55
MG Road,12.9757,77.6011,2026-07-29 12:00:00,28.1,54
MG Road,12.9757,77.6011,2026-07-29 13:00:00,28.6,54
MG Road,12.9757,77.6011,2026-07-29 14:00:00,29.3,53
MG Road,12.9757,77.6011,2026-07-29 15:00:00,27.9,56
MG Road,12.9757,77.6011,2026-07-29 16:00:00,24.7,77
MG Road,12.9757,77.6011,2026-07-29 17:00:00,26.8,60
MG Road,12.9757,77.6011,2026-07-29 18:00:00,25.3,68
MG Road,12.9757,77.6011,2026-07-29 19:00:00,23.9,74
MG Road,12.9757,77.6011,2026-07-29 20:00:00,23.1,78
MG Road,12.9757,77.6011,2026-07-29 21:00:00,22.5,81
MG Road,12.9757,77.6011,2026-07-29 22:00:00,21.9,83
MG Road,12.9757,77.6011,2026-07-29 23:00:00,22.3,84
MG Road,12.9757,77.6011,2026-07-30 00:00:00,22.1,88
MG Road,12.9757,77.6011,2026-07-30 01:00:00,21.9,90
MG Road,12.9757,77.6011,2026-07-30 02:00:00,21.5,88
MG Road,12.9757,77.6011,2026-07-30 03:00:00,21.2,90
MG Road,12.9757,77.6011,2026-07-30 04:00:00,21.0,90
MG Road,12.9757,77.6011,2026-07-30 05:00:00,21.8,88
MG Road,12.9757,77.6011,2026-07-30 06:00:00,21.8,88
MG Road,12.9757,77.6011,2026-07-30 07:00:00,22.4,82
MG Road,12.9757,77.6011,2026-07-30 08:00:00,23.5,76
