time,temperature_2m,relative_humidity_2m,precipitation
2026-08-14 00:00:00,21.5,87,0.0
2026-08-14 01:00:00,21.0,89,0.0
2026-08-14 02:00:00,20.7,92,0.0
2026-08-14 03:00:00,20.5,94,0.0
2026-08-14 04:00:00,20.3,95,0.0
2026-08-14 05:00:00,20.3,93,0.0
2026-08-14 06:00:00,20.1,94,0.0
2026-08-14 07:00:00,21.3,88,0.0
2026-08-14 08:00:00,23.5,76,0.1
2026-08-14 09:00:00,24.7,69,0.1
2026-08-14 10:00:00,25.8,65,0.0
2026-08-14 11:00:00,27.0,58,0.2
2026-08-14 12:00:00,27.5,57,0.4
2026-08-14 13:00:00,28.7,55,0.3
2026-08-14 14:00:00,29.5,53,0.1
2026-08-14 15:00:00,27.8,57,0.7
2026-08-14 16:00:00,26.7,63,0.4
2026-08-14 17:00:00,24.5,76,0.8
2026-08-14 18:00:00,23.5,82,0.3
2026-08-14 19:00:00,22.6,86,0.2
2026-08-14 20:00:00,22.0,91,1.3
2026-08-14 21:00:00,21.6,92,0.0
2026-08-14 22:00:00,21.5,90,0.0
2026-08-14 23:00:00,21.1,90,0.0
2026-08-15 00:00:00,20.7,92,0.0
2026-08-15 01:00:00,20.5,92,0.0
2026-08-15 02:00:00,20.3,93,0.0
2026-08-15 03:00:00,20.2,93,0.0
2026-08-15 04:00:00,20.0,93,0.0
2026-08-15 05:00:00,19.9,94,0.0
2026-08-15 06:00:00,20.0,93,0.0
2026-08-15 07:00:00,21.2,87,0.0
2026-08-15 08:00:00,22.9,76,0.0
2026-08-15 09:00:00,23.9,72,0.0
2026-08-15 10:00:00,25.2,66,0.0
2026-08-15 11:00:00,26.4,60,0.0
2026-08-15 12:00:00,27.2,58,0.2
2026-08-15 13:00:00,28.2,56,0.1
2026-08-15 14:00:00,28.4,53,0.0
2026-08-15 15:00:00,28.3,52,0.0
2026-08-15 16:00:00,27.2,55,0.1
2026-08-15 17:00:00,26.6,62,0.2
2026-08-15 18:00:00,24.6,69,0.3
2026-08-15 19:00:00,24.0,74,0.0
2026-08-15 20:00:00,23.5,74,0.0
2026-08-15 21:00:00,22.6,78,0.0
2026-08-15 22:00:00,21.9,82,0.0
2026-08-15 23:00:00,21.5,85,0.0
2026-08-16 00:00:00,21.0,88,0.0
2026-08-16 01:00:00,20.8,89,0.0
2026-08-16 02:00:00,20.5,90,0.0
2026-08-16 03:00:00,20.4,91,0.0
2026-08-16 04:00:00,20.4,91,0.0
2026-08-16 05:00:00,20.2,93,0.0
2026-08-16 06:00:00,20.1,93,0.0
2026-08-16 07:00:00,21.1,87,0.0
2026-08-16 08:00:00,22.8,77,0.1
2026-08-16 09:00:00,23.6,73,0.1
2026-08-16 10:00:00,25.1,67,0.0
2026-08-16 11:00:00,26.0,63,0.0
2026-08-16 12:00:00,27.4,59,0.1
2026-08-16 13:00:00,28.6,56,0.0
2026-08-16 14:00:00,29.1,53,0.0
2026-08-16 15:00:00,29.0,53,0.0
2026-08-16 16:00:00,28.1,54,0.1
2026-08-16 17:00:00,25.8,69,0.7
2026-08-16 18:00:00,24.9,72,0.0
2026-08-16 19:00:00,24.3,74,0.0
2026-08-16 20:00:00,24.3,74,0.0
2026-08-16 21:00:00,23.3,77,0.0
2026-08-16 22:00:00,22.4,83,0.0
2026-08-16 23:00:00,21.8,86,0.0
2026-08-17 00:00:00,21.3,88,0.0
2026-08-17 01:00:00,20.9,89,0.0
2026-08-17 02:00:00,20.6,88,0.0
2026-08-17 03:00:00,20.2,88,0.0
2026-08-17 04:00:00,19.7,89,0.0
2026-08-17 05:00:00,19.4,91,0.0
2026-08-17 06:00:00,19.4,92,0.0
2026-08-17 07:00:00,20.6,87,0.0
2026-08-17 08:00:00,22.4,76,0.0
2026-08-17 09:00:00,24.1,68,0.0
2026-08-17 10:00:00,25.6,61,0.0
2026-08-17 11:00:00,26.6,57,0.0
2026-08-17 12:00:00,28.1,53,0.0
2026-08-17 13:00:00,29.4,49,0.1
2026-08-17 14:00:00,29.9,46,0.2
2026-08-17 15:00:00,27.3,55,0.8
2026-08-17 16:00:00,26.6,65,0.5
2026-08-17 17:00:00,24.4,74,0.9
2026-08-17 18:00:00,22.8,84,1.7
2026-08-17 19:00:00,22.3,87,0.2
2026-08-17 20:00:00,22.3,90,0.0
2026-08-17 21:00:00,22.1,89,0.0
2026-08-17 22:00:00,21.5,88,0.0
2026-08-17 23:00:00,21.0,90,0.0
2026-08-18 00:00:00,20.4,92,0.0
2026-08-18 01:00:00,20.0,94,0.0
2026-08-18 02:00:00,19.8,94,0.0
2026-08-18 03:00:00,19.8,94,0.0
2026-08-18 04:00:00,19.6,94,0.0
2026-08-18 05:00:00,19.5,95,0.0
2026-08-18 06:00:00,20.3,90,0.0
2026-08-18 07:00:00,21.5,83,0.0
2026-08-18 08:00:00,22.8,75,0.0
2026-08-18 09:00:00,24.2,67,0.0
2026-08-18 10:00:00,25.6,60,0.0
2026-08-18 11:00:00,26.9,54,0.0
2026-08-18 12:00:00,28.1,51,0.0
2026-08-18 13:00:00,29.1,49,0.0
2026-08-18 14:00:00,29.4,49,0.0
2026-08-18 15:00:00,28.9,50,0.2
2026-08-18 16:00:00,27.8,54,0.2
2026-08-18 17:00:00,26.5,59,0.2
2026-08-18 18:00:00,25.1,66,0.3
2026-08-18 19:00:00,23.5,76,0.3
2026-08-18 20:00:00,22.2,84,0.3
2026-08-18 21:00:00,21.7,88,0.3
2026-08-18 22:00:00,21.5,89,0.3
2026-08-18 23:00:00,21.3,90,0.3
2026-08-19 00:00:00,20.9,91,0.0
