time,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide
2026-07-16 00:00:00,116.4,284.1,64.9,16.0,30.8,949.0
2026-07-16 01:00:00,106.9,244.0,60.5,16.0,27.9,623.0
2026-07-16 02:00:00,98.5,210.9,56.3,16.0,25.1,380.0
2026-07-16 03:00:00,90.1,182.1,52.7,13.0,22.5,276.0
2026-07-16 04:00:00,84.8,172.3,49.2,9.0,19.9,254.0
2026-07-16 05:00:00,115.9,379.0,30.1,30.0,13.5,268.0
2026-07-16 06:00:00,118.5,371.6,29.1,43.0,14.8,331.0
2026-07-16 07:00:00,121.1,345.5,27.4,62.0,16.5,430.0
2026-07-16 08:00:00,116.9,383.7,24.3,82.0,17.5,481.0
2026-07-16 09:00:00,102.9,372.5,18.4,106.0,17.0,431.0
2026-07-16 10:00:00,105.7,451.7,11.1,132.0,15.6,332.0
2026-07-16 11:00:00,116.9,573.7,5.7,149.0,14.4,255.0
2026-07-16 12:00:00,127.6,685.5,3.7,153.0,13.6,228.0
2026-07-16 13:00:00,127.6,692.9,3.5,149.0,12.8,223.0
2026-07-16 14:00:00,124.3,666.8,4.5,142.0,12.2,229.0
2026-07-16 15:00:00,117.6,614.7,5.3,136.0,11.4,218.0
2026-07-16 16:00:00,115.9,573.7,7.1,127.0,10.8,218.0
2026-07-16 17:00:00,145.3,782.3,13.1,113.0,11.6,306.0
2026-07-16 18:00:00,158.3,765.5,29.7,89.0,15.4,582.0
2026-07-16 19:00:00,178.8,819.6,52.7,56.0,20.8,946.0
2026-07-16 20:00:00,200.7,907.1,71.3,29.0,26.4,1172.0
2026-07-16 21:00:00,221.7,979.8,81.0,15.0,32.4,1141.0
2026-07-16 22:00:00,237.5,1009.6,86.3,7.0,38.5,973.0
2026-07-16 23:00:00,247.7,1024.5,89.7,2.0,43.2,796.0
2026-07-17 00:00:00,255.2,1054.3,91.7,0.0,45.3,638.0
2026-07-17 01:00:00,261.7,1087.8,91.8,0.0,45.9,471.0
2026-07-17 02:00:00,267.3,1113.9,90.9,0.0,46.5,345.0
2026-07-17 03:00:00,271.0,1113.9,90.0,0.0,48.4,279.0
2026-07-17 04:00:00,267.3,1039.4,88.0,0.0,50.3,255.0
2026-07-17 05:00:00,162.1,489.9,69.6,1.0,32.9,264.0
2026-07-17 06:00:00,145.3,407.0,58.9,20.0,29.8,334.0
2026-07-17 07:00:00,126.2,358.6,44.0,48.0,25.5,437.0
2026-07-17 08:00:00,110.4,367.9,30.5,76.0,21.5,488.0
2026-07-17 09:00:00,110.6,436.8,20.2,104.0,18.3,430.0
2026-07-17 10:00:00,119.7,534.6,11.4,133.0,15.5,319.0
2026-07-17 11:00:00,118.5,553.2,5.3,152.0,13.3,235.0
2026-07-17 12:00:00,116.4,556.9,2.9,155.0,11.9,210.0
2026-07-17 13:00:00,119.2,597.9,3.3,149.0,11.1,213.0
2026-07-17 14:00:00,123.4,638.9,4.7,141.0,10.6,224.0
2026-07-17 15:00:00,129.9,696.6,6.2,134.0,10.2,211.0
2026-07-17 16:00:00,133.6,711.5,8.8,126.0,10.2,208.0
2026-07-17 17:00:00,165.8,920.1,15.1,101.0,10.4,295.0
2026-07-17 18:00:00,168.6,858.7,24.7,84.0,12.9,576.0
2026-07-17 19:00:00,176.0,830.7,38.2,61.0,16.6,949.0
2026-07-17 20:00:00,178.8,782.3,51.3,40.0,20.4,1186.0
2026-07-17 21:00:00,187.2,800.9,63.6,25.0,24.6,1170.0
2026-07-17 22:00:00,194.6,830.7,75.4,12.0,28.9,1018.0
2026-07-17 23:00:00,200.2,793.5,83.0,3.0,32.0,856.0
2026-07-18 00:00:00,197.9,722.7,84.2,0.0,33.1,714.0
2026-07-18 01:00:00,191.4,646.3,81.2,0.0,32.9,561.0
2026-07-18 02:00:00,176.0,538.3,76.6,1.0,31.9,435.0
2026-07-18 03:00:00,155.1,434.0,70.9,3.0,30.0,341.0
2026-07-18 04:00:00,131.3,349.2,63.6,7.0,27.2,273.0
2026-07-18 05:00:00,141.6,372.5,70.4,4.0,35.5,253.0
2026-07-18 06:00:00,112.0,290.6,58.9,20.0,30.0,321.0
2026-07-18 07:00:00,98.3,282.2,42.8,43.0,22.4,436.0
2026-07-18 08:00:00,92.2,335.3,28.7,66.0,16.3,496.0
2026-07-18 09:00:00,98.0,459.1,18.8,89.0,13.2,438.0
2026-07-18 10:00:00,120.1,661.2,11.0,112.0,11.7,324.0
2026-07-18 11:00:00,156.5,938.8,5.6,129.0,10.7,239.0
2026-07-18 12:00:00,186.3,1158.6,3.2,136.0,10.2,219.0
2026-07-18 13:00:00,200.7,1251.7,3.2,137.0,10.2,228.0
2026-07-18 14:00:00,206.3,1292.7,4.6,134.0,10.3,247.0
2026-07-18 15:00:00,206.3,1277.8,6.7,130.0,10.1,256.0
2026-07-18 16:00:00,204.9,1214.4,10.2,122.0,10.0,275.0
2026-07-18 17:00:00,147.6,789.8,22.4,83.0,17.2,343.0
2026-07-18 18:00:00,148.5,672.4,39.8,62.0,20.9,522.0
2026-07-18 19:00:00,157.9,648.2,63.8,32.0,26.1,751.0
2026-07-18 20:00:00,170.9,694.8,81.2,10.0,30.4,887.0
2026-07-18 21:00:00,169.0,579.3,86.0,2.0,33.0,854.0
2026-07-18 22:00:00,152.7,510.4,84.3,2.0,34.7,729.0
2026-07-18 23:00:00,139.2,437.7,80.6,4.0,35.1,600.0
2026-07-19 00:00:00,126.7,376.3,75.9,6.0,33.7,481.0
2026-07-19 01:00:00,116.2,323.2,69.3,10.0,31.0,358.0
2026-07-19 02:00:00,106.6,275.7,62.9,14.0,28.4,272.0
2026-07-19 03:00:00,99.0,252.4,57.6,15.0,26.1,243.0
2026-07-19 04:00:00,94.8,252.4,52.5,16.0,23.9,253.0
2026-07-19 05:00:00,110.8,209.1,71.9,3.0,33.6,286.0
2026-07-19 06:00:00,105.7,181.1,65.1,18.0,33.8,365.0
2026-07-19 07:00:00,100.4,161.6,55.3,39.0,33.8,467.0
2026-07-19 08:00:00,81.5,146.2,44.5,64.0,32.2,513.0
2026-07-19 09:00:00,70.5,176.5,31.9,96.0,27.7,447.0
2026-07-19 10:00:00,75.7,285.9,18.4,131.0,21.6,324.0
2026-07-19 11:00:00,90.1,429.3,8.4,155.0,16.7,231.0
2026-07-19 12:00:00,97.6,499.2,4.1,160.0,13.9,201.0
2026-07-19 13:00:00,111.8,603.5,3.3,154.0,12.1,201.0
2026-07-19 14:00:00,118.7,666.8,4.3,144.0,11.2,212.0
2026-07-19 15:00:00,126.7,717.1,5.9,133.0,10.8,221.0
2026-07-19 16:00:00,131.3,752.5,9.1,118.0,11.2,241.0
2026-07-19 17:00:00,127.1,536.4,22.2,114.0,26.1,293.0
2026-07-19 18:00:00,121.5,445.2,27.0,101.0,28.8,412.0
2026-07-19 19:00:00,116.2,374.4,33.7,84.0,32.6,561.0
2026-07-19 20:00:00,108.7,305.5,38.7,69.0,35.4,655.0
2026-07-19 21:00:00,103.6,268.2,40.6,59.0,36.6,648.0
2026-07-19 22:00:00,98.3,238.4,40.8,52.0,36.8,586.0
2026-07-19 23:00:00,91.5,210.0,40.4,47.0,36.4,513.0
2026-07-20 00:00:00,89.6,210.0,39.7,43.0,35.4,433.0
2026-07-20 01:00:00,90.8,241.2,38.4,40.0,33.7,344.0
2026-07-20 02:00:00,92.4,269.2,36.7,39.0,31.3,279.0
2026-07-20 03:00:00,95.2,291.5,34.1,39.0,27.3,249.0
2026-07-20 04:00:00,92.9,275.7,31.2,39.0,22.5,244.0
2026-07-20 05:00:00,32.9,71.7,19.4,57.0,12.3,273.0
2026-07-20 06:00:00,31.3,58.0,24.0,54.0,14.7,358.0
2026-07-20 07:00:00,30.6,54.5,30.1,50.0,17.8,477.0
2026-07-20 08:00:00,33.5,53.8,32.8,50.0,19.7,567.0
2026-07-20 09:00:00,34.7,62.2,28.8,59.0,18.9,608.0
2026-07-20 10:00:00,36.8,90.8,21.3,72.0,16.7,620.0
2026-07-20 11:00:00,39.5,110.6,15.6,83.0,15.1,601.0
2026-07-20 12:00:00,42.3,126.2,13.3,88.0,14.5,526.0
2026-07-20 13:00:00,51.9,199.3,12.8,91.0,14.4,419.0
2026-07-20 14:00:00,61.0,265.4,13.8,92.0,15.4,354.0
2026-07-20 15:00:00,67.5,297.1,16.0,94.0,17.8,340.0
2026-07-20 16:00:00,73.6,320.4,19.7,94.0,21.2,368.0
2026-07-20 17:00:00,35.4,75.2,33.5,86.0,21.7,480.0
2026-07-20 18:00:00,41.2,76.1,47.4,64.0,26.8,764.0
2026-07-20 19:00:00,54.4,83.6,66.3,35.0,33.7,1133.0
2026-07-20 20:00:00,63.6,86.4,78.4,15.0,38.3,1368.0
2026-07-20 21:00:00,62.4,82.2,77.7,14.0,38.4,1364.0
2026-07-20 22:00:00,59.5,77.8,70.1,22.0,36.1,1225.0
2026-07-20 23:00:00,51.1,64.0,61.7,31.0,33.5,1047.0
2026-07-21 00:00:00,42.3,51.3,53.7,38.0,31.1,824.0
2026-07-21 01:00:00,34.9,41.4,44.8,46.0,28.5,561.0
2026-07-21 02:00:00,31.4,36.2,37.6,51.0,26.4,367.0
2026-07-21 03:00:00,30.6,33.9,33.4,51.0,25.2,289.0
2026-07-21 04:00:00,27.8,29.3,30.8,48.0,24.5,280.0
2026-07-21 05:00:00,18.7,20.7,25.4,49.0,19.3,311.0
2026-07-21 06:00:00,20.3,21.3,25.0,54.0,21.3,407.0
2026-07-21 07:00:00,21.2,21.9,24.4,62.0,24.0,543.0
2026-07-21 08:00:00,22.3,22.8,22.9,71.0,25.3,620.0
2026-07-21 09:00:00,15.5,16.1,19.7,83.0,23.7,577.0
2026-07-21 10:00:00,13.0,13.5,15.5,96.0,20.8,474.0
2026-07-21 11:00:00,12.0,12.4,12.6,107.0,18.6,394.0
2026-07-21 12:00:00,11.7,12.0,11.8,115.0,18.2,362.0
2026-07-21 13:00:00,12.1,12.4,12.1,121.0,18.6,353.0
2026-07-21 14:00:00,13.6,13.8,12.9,126.0,19.2,366.0
2026-07-21 15:00:00,13.5,13.7,13.5,132.0,19.7,406.0
2026-07-21 16:00:00,15.1,15.3,14.6,136.0,20.3,468.0
2026-07-21 17:00:00,30.2,31.3,21.8,115.0,20.1,542.0
2026-07-21 18:00:00,36.4,37.1,26.4,101.0,20.5,648.0
2026-07-21 19:00:00,39.9,40.4,32.6,82.0,21.0,765.0
2026-07-21 20:00:00,35.2,35.4,36.0,68.0,21.1,822.0
2026-07-21 21:00:00,32.7,32.8,33.9,66.0,20.4,769.0
2026-07-21 22:00:00,32.2,32.4,29.0,70.0,19.2,655.0
2026-07-21 23:00:00,31.3,31.4,24.6,73.0,18.2,558.0
2026-07-22 00:00:00,30.3,30.3,22.0,73.0,17.5,506.0
2026-07-22 01:00:00,30.0,30.2,20.0,73.0,16.9,472.0
2026-07-22 02:00:00,29.3,29.3,18.5,72.0,16.6,443.0
2026-07-22 03:00:00,29.5,29.6,17.5,69.0,16.8,410.0
2026-07-22 04:00:00,29.6,29.8,17.0,65.0,17.3,384.0
2026-07-22 05:00:00,36.1,36.4,22.9,53.0,20.7,386.0
2026-07-22 06:00:00,35.2,35.6,22.6,58.0,20.1,446.0
2026-07-22 07:00:00,35.3,35.7,22.0,66.0,19.4,534.0
2026-07-22 08:00:00,36.7,37.1,20.3,81.0,18.9,584.0
2026-07-22 09:00:00,37.4,38.1,16.4,109.0,19.0,558.0
2026-07-22 10:00:00,33.8,34.5,11.5,143.0,19.5,495.0
2026-07-22 11:00:00,41.2,104.8,7.8,170.0,19.8,442.0
2026-07-22 12:00:00,42.3,125.3,5.8,184.0,19.7,413.0
2026-07-22 13:00:00,37.4,85.9,5.1,190.0,19.4,394.0
2026-07-22 14:00:00,39.5,95.5,7.0,187.0,19.4,396.0
2026-07-22 15:00:00,40.3,98.7,13.0,171.0,19.8,413.0
2026-07-22 16:00:00,35.3,71.9,21.7,146.0,20.6,451.0
2026-07-22 17:00:00,14.7,16.4,14.7,145.0,18.3,539.0
2026-07-22 18:00:00,17.3,18.2,24.3,121.0,20.7,742.0
2026-07-22 19:00:00,23.9,24.3,37.3,88.0,23.9,994.0
2026-07-22 20:00:00,25.4,25.6,45.1,65.0,25.8,1128.0
2026-07-22 21:00:00,23.3,23.7,42.9,62.0,25.3,1040.0
2026-07-22 22:00:00,21.0,21.2,35.6,68.0,23.6,833.0
2026-07-22 23:00:00,17.6,17.9,29.1,73.0,22.0,651.0
2026-07-23 00:00:00,14.9,15.1,25.2,73.0,20.9,543.0
2026-07-23 01:00:00,21.2,73.1,22.1,71.0,20.0,459.0
2026-07-23 02:00:00,24.9,88.7,20.0,68.0,19.4,397.0
2026-07-23 03:00:00,28.7,98.5,19.3,63.0,19.2,352.0
2026-07-23 04:00:00,34.2,127.1,19.7,58.0,19.3,328.0
2026-07-23 05:00:00,30.7,75.9,21.4,55.0,19.2,339.0
2026-07-23 06:00:00,33.5,88.2,20.4,63.0,20.3,418.0
2026-07-23 07:00:00,38.6,116.6,18.9,76.0,21.7,533.0
2026-07-23 08:00:00,28.3,43.4,16.8,92.0,22.3,595.0
2026-07-23 09:00:00,23.1,26.5,13.3,116.0,21.2,551.0
2026-07-23 10:00:00,21.5,22.1,9.2,144.0,19.2,455.0
2026-07-23 11:00:00,20.5,20.7,6.4,164.0,17.6,382.0
2026-07-23 12:00:00,20.4,20.7,5.6,170.0,16.5,356.0
2026-07-23 13:00:00,33.3,128.1,6.2,168.0,15.7,354.0
2026-07-23 14:00:00,28.2,74.7,7.6,163.0,15.7,381.0
