location,latitude,longitude,time,temperature,humidity,precipitation,wind_speed,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide
Connaught Place,28.6315,77.2167,2026-07-18 00:00:00,32.2,66,0.0,4.8,197.9,722.7,84.2,0.0,33.1,714.0
Connaught Place,28.6315,77.2167,2026-07-18 01:00:00,31.5,67,0.0,3.7,191.4,646.3,81.2,0.0,32.9,561.0
Connaught Place,28.6315,77.2167,2026-07-18 02:00:00,31.1,66,0.0,3.7,176.0,538.3,76.6,1.0,31.9,435.0
Connaught Place,28.6315,77.2167,2026-07-18 03:00:00,31.0,64,0.0,4.3,155.1,434.0,70.9,3.0,30.0,341.0
Connaught Place,28.6315,77.2167,2026-07-18 04:00:00,30.9,62,0.0,6.7,131.3,349.2,63.6,7.0,27.2,273.0
Connaught Place,28.6315,77.2167,2026-07-18 05:00:00,31.3,66,0.0,10.3,141.6,372.5,70.4,4.0,35.5,253.0
Connaught Place,28.6315,77.2167,2026-07-18 06:00:00,31.2,60,0.0,10.2,112.0,290.6,58.9,20.0,30.0,321.0
Connaught Place,28.6315,77.2167,2026-07-18 07:00:00,32.0,56,0.0,9.8,98.3,282.2,42.8,43.0,22.4,436.0
Connaught Place,28.6315,77.2167,2026-07-18 08:00:00,32.3,57,0.0,8.7,92.2,335.3,28.7,66.0,16.3,496.0
Connaught Place,28.6315,77.2167,2026-07-18 09:00:00,33.1,57,0.0,9.8,98.0,459.1,18.8,89.0,13.2,438.0
Connaught Place,28.6315,77.2167,2026-07-18 10:00:00,34.7,52,0.0,12.5,120.1,661.2,11.0,112.0,11.7,324.0
Connaught Place,28.6315,77.2167,2026-07-18 11:00:00,35.4,49,0.0,13.9,156.5,938.8,5.6,129.0,10.7,239.0
Connaught Place,28.6315,77.2167,2026-07-18 12:00:00,35.7,48,0.0,12.9,186.3,1158.6,3.2,136.0,10.2,219.0
Connaught Place,28.6315,77.2167,2026-07-18 13:00:00,36.2,46,0.0,11.2,200.7,1251.7,3.2,137.0,10.2,228.0
Connaught Place,28.6315,77.2167,2026-07-18 14:00:00,36.2,45,0.0,9.6,206.3,1292.7,4.6,134.0,10.3,247.0
Connaught Place,28.6315,77.2167,2026-07-18 15:00:00,36.6,43,0.0,8.9,206.3,1277.8,6.7,130.0,10.1,256.0
Connaught Place,28.6315,77.2167,2026-07-18 16:00:00,36.2,44,0.0,7.5,204.9,1214.4,10.2,122.0,10.0,275.0
Connaught Place,28.6315,77.2167,2026-07-18 17:00:00,36.6,41,0.0,4.5,147.6,789.8,22.4,83.0,17.2,343.0
Connaught Place,28.6315,77.2167,2026-07-18 18:00:00,36.0,44,0.0,4.8,148.5,672.4,39.8,62.0,20.9,522.0
Connaught Place,28.6315,77.2167,2026-07-18 19:00:00,34.7,48,0.0,6.5,157.9,648.2,63.8,32.0,26.1,751.0
Connaught Place,28.6315,77.2167,2026-07-18 20:00:00,34.2,50,0.0,5.3,170.9,694.8,81.2,10.0,30.4,887.0
Connaught Place,28.6315,77.2167,2026-07-18 21:00:00,34.3,54,0.0,3.5,169.0,579.3,86.0,2.0,33.0,854.0
Connaught Place,28.6315,77.2167,2026-07-18 22:00:00,34.0,55,0.0,1.2,152.7,510.4,84.3,2.0,34.7,729.0
Connaught Place,28.6315,77.2167,2026-07-18 23:00:00,34.0,58,0.0,2.3,139.2,437.7,80.6,4.0,35.1,600.0
Connaught Place,28.6315,77.2167,2026-07-19 00:00:00,32.9,58,0.0,3.8,126.7,376.3,75.9,6.0,33.7,481.0
Connaught Place,28.6315,77.2167,2026-07-19 01:00:00,32.3,63,0.0,2.8,116.2,323.2,69.3,10.0,31.0,358.0
Connaught Place,28.6315,77.2167,2026-07-19 02:00:00,31.5,67,0.0,4.4,106.6,275.7,62.9,14.0,28.4,272.0
Connaught Place,28.6315,77.2167,2026-07-19 03:00:00,31.1,69,0.0,4.5,99.0,252.4,57.6,15.0,26.1,243.0
Connaught Place,28.6315,77.2167,2026-07-19 04:00:00,30.6,70,0.0,4.7,94.8,252.4,52.5,16.0,23.9,253.0
Connaught Place,28.6315,77.2167,2026-07-19 05:00:00,29.9,83,0.0,2.1,110.8,209.1,71.9,3.0,33.6,286.0
Connaught Place,28.6315,77.2167,2026-07-19 06:00:00,30.6,77,0.0,6.4,105.7,181.1,65.1,18.0,33.8,365.0
Connaught Place,28.6315,77.2167,2026-07-19 07:00:00,31.8,70,0.0,6.1,100.4,161.6,55.3,39.0,33.8,467.0
Connaught Place,28.6315,77.2167,2026-07-19 08:00:00,32.7,61,0.0,7.6,81.5,146.2,44.5,64.0,32.2,513.0
Connaught Place,28.6315,77.2167,2026-07-19 09:00:00,33.2,57,0.0,6.9,70.5,176.5,31.9,96.0,27.7,447.0
Connaught Place,28.6315,77.2167,2026-07-19 10:00:00,34.4,52,0.0,7.9,75.7,285.9,18.4,131.0,21.6,324.0
Connaught Place,28.6315,77.2167,2026-07-19 11:00:00,35.7,47,0.0,11.0,90.1,429.3,8.4,155.0,16.7,231.0
Connaught Place,28.6315,77.2167,2026-07-19 12:00:00,36.1,46,0.0,11.1,97.6,499.2,4.1,160.0,13.9,201.0
Connaught Place,28.6315,77.2167,2026-07-19 13:00:00,35.7,49,0.0,8.2,111.8,603.5,3.3,154.0,12.1,201.0
Connaught Place,28.6315,77.2167,2026-07-19 14:00:00,36.2,47,0.0,5.3,118.7,666.8,4.3,144.0,11.2,212.0
