time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-15 00:00:00,21.8,91,0.1,14.8
2026-08-15 01:00:00,21.3,93,0.0,14.1
2026-08-15 02:00:00,21.1,93,0.0,14.2
2026-08-15 03:00:00,20.8,94,0.0,12.7
2026-08-15 04:00:00,20.6,95,0.0,13.1
2026-08-15 05:00:00,21.1,94,0.0,11.3
2026-08-15 06:00:00,21.3,91,0.0,12.9
2026-08-15 07:00:00,22.2,86,0.0,13.3
2026-08-15 08:00:00,23.6,78,0.0,15.8
2026-08-15 09:00:00,25.1,69,0.0,19.4
2026-08-15 10:00:00,26.7,61,0.0,21.0
2026-08-15 11:00:00,28.0,55,0.0,20.9
2026-08-15 12:00:00,28.3,55,0.0,21.7
2026-08-15 13:00:00,28.8,55,0.2,21.8
2026-08-15 14:00:00,28.8,55,0.2,22.7
2026-08-15 15:00:00,27.0,65,0.6,24.9
2026-08-15 16:00:00,26.9,65,0.4,23.9
2026-08-15 17:00:00,25.6,70,0.1,23.5
2026-08-15 18:00:00,24.1,77,0.0,21.5
2026-08-15 19:00:00,23.3,81,0.0,19.2
2026-08-15 20:00:00,22.6,84,0.0,17.8
2026-08-15 21:00:00,22.1,87,0.0,15.8
2026-08-15 22:00:00,21.8,89,0.0,14.2
2026-08-15 23:00:00,21.7,90,0.0,12.8
2026-08-16 00:00:00,21.9,89,0.0,13.8
2026-08-16 01:00:00,21.7,90,0.0,14.8
2026-08-16 02:00:00,21.1,93,0.0,14.6
2026-08-16 03:00:00,21.1,93,0.0,15.3
2026-08-16 04:00:00,21.2,92,0.0,15.2
2026-08-16 05:00:00,21.2,91,0.0,14.8
2026-08-16 06:00:00,21.1,91,0.0,14.1
2026-08-16 07:00:00,22.2,86,0.0,16.1
2026-08-16 08:00:00,23.9,77,0.0,17.2
2026-08-16 09:00:00,25.0,71,0.1,18.0
2026-08-16 10:00:00,26.2,66,0.0,17.5
2026-08-16 11:00:00,27.6,61,0.1,17.3
2026-08-16 12:00:00,28.8,56,0.2,19.1
2026-08-16 13:00:00,29.1,55,0.3,19.5
2026-08-16 14:00:00,28.8,56,0.5,20.4
2026-08-16 15:00:00,27.5,64,1.0,22.7
2026-08-16 16:00:00,27.2,66,0.0,21.3
2026-08-16 17:00:00,26.1,68,0.1,22.3
2026-08-16 18:00:00,24.4,76,0.0,20.7
2026-08-16 19:00:00,23.3,82,0.0,18.0
2026-08-16 20:00:00,22.6,86,0.0,16.3
2026-08-16 21:00:00,22.1,89,0.0,15.1
2026-08-16 22:00:00,21.8,91,0.0,14.1
2026-08-16 23:00:00,22.0,90,0.0,14.0
2026-08-17 00:00:00,21.7,91,0.0,14.2
2026-08-17 01:00:00,21.8,90,0.0,14.5
2026-08-17 02:00:00,21.8,90,0.0,13.7
2026-08-17 03:00:00,21.4,92,0.0,13.0
2026-08-17 04:00:00,21.2,93,0.0,13.5
2026-08-17 05:00:00,21.1,92,0.0,13.3
2026-08-17 06:00:00,21.0,92,0.0,13.1
2026-08-17 07:00:00,22.2,85,0.0,15.6
2026-08-17 08:00:00,24.1,75,0.0,19.0
2026-08-17 09:00:00,25.2,70,0.1,18.9
2026-08-17 10:00:00,26.2,66,0.0,18.0
2026-08-17 11:00:00,28.2,58,0.2,19.5
2026-08-17 12:00:00,28.6,56,0.2,21.0
2026-08-17 13:00:00,29.2,57,0.2,19.2
2026-08-17 14:00:00,28.8,58,0.2,19.6
2026-08-17 15:00:00,26.6,68,0.9,24.0
2026-08-17 16:00:00,26.2,69,0.6,23.1
2026-08-17 17:00:00,25.4,72,0.1,21.6
2026-08-17 18:00:00,24.1,77,0.0,20.7
2026-08-17 19:00:00,23.1,82,0.0,16.7
2026-08-17 20:00:00,22.4,85,0.0,15.6
2026-08-17 21:00:00,21.8,88,0.0,14.5
2026-08-17 22:00:00,21.5,89,0.0,13.2
2026-08-17 23:00:00,21.2,91,0.0,13.1
2026-08-18 00:00:00,21.2,91,0.0,13.4
2026-08-18 01:00:00,21.2,91,0.0,13.1
2026-08-18 02:00:00,20.9,93,0.0,13.0
2026-08-18 03:00:00,20.6,95,0.0,13.8
2026-08-18 04:00:00,20.8,93,0.0,14.0
2026-08-18 05:00:00,21.1,91,0.0,13.5
