member_id,workout_duration_minutes,monthly_membership_fee_inr,attendance_percentage,weekly_visit_count,preferred_workout
M001,69.7,1690.0,71.7,1.3,Cardio
M002,81.0,2450.0,86.2,2.2,Weights
M003,62.6,2190.0,89.0,5.1,CrossFit
M004,65.7,3170.0,79.6,5.4,Cardio
M005,49.3,1050.0,80.7,1.5,Weights
M006,39.1,1180.0,88.0,5.0,Weights
M007,52.3,800.0,81.3,2.1,Weights
M008,73.0,2630.0,82.3,5.5,Yoga
M009,32.7,1980.0,82.3,1.9,Cardio
M010,49.1,1500.0,78.5,4.4,Weights
M011,32.0,1440.0,74.5,1.1,CrossFit
M012,56.3,1540.0,90.9,1.9,CrossFit
M013,65.5,1320.0,81.0,5.1,Weights
M014,40.1,1730.0,80.6,6.2,CrossFit
M015,50.1,1600.0,76.9,1.8,Cardio
M016,70.9,3730.0,90.6,2.6,Yoga
M017,53.9,2310.0,92.3,6.1,CrossFit
M018,40.1,1380.0,91.8,6.8,Weights
M019,39.2,1540.0,92.3,4.4,Yoga
M020,30.8,3430.0,71.7,1.2,Cardio
M021,64.3,2450.0,79.3,1.8,Yoga
M022,46.0,2280.0,79.2,2.3,Yoga
M023,67.6,2760.0,89.0,7.1,Weights
M024,65.4,4080.0,88.8,1.2,Weights
M025,47.1,1160.0,82.0,2.3,Cardio
M026,48.7,1430.0,72.8,0.3,Yoga
M027,64.3,910.0,85.4,2.2,Weights
M028,56.8,2500.0,85.1,2.7,Weights
M029,58.2,1690.0,91.7,6.0,Cardio
M030,35.2,1480.0,88.6,2.0,Weights
M031,65.8,1420.0,81.6,6.0,Cardio
M032,44.5,2730.0,89.5,1.8,Yoga
M033,27.8,1870.0,84.9,5.3,Cardio
M034,47.6,1570.0,88.5,6.4,Cardio
M035,60.1,3520.0,83.5,5.4,Cardio
M036,80.2,1250.0,74.0,1.4,Weights
M037,50.5,1130.0,88.3,1.8,CrossFit
M038,39.0,6420.0,74.2,1.3,Cardio
M039,80.5,1690.0,85.5,1.9,Weights
M040,56.9,1560.0,80.9,5.7,Cardio
M041,51.9,1440.0,84.0,1.6,Weights
M042,42.1,1880.0,79.6,2.4,Cardio
M043,43.0,2840.0,84.7,4.6,Cardio
M044,72.7,2800.0,89.5,2.1,Weights
M045,51.8,2550.0,77.3,0.9,Cardio
M046,48.5,1760.0,84.0,1.8,Cardio
M047,48.9,1020.0,85.1,2.4,Weights
M048,73.8,2270.0,88.4,4.9,Cardio
M049,47.9,3960.0,72.5,0.3,CrossFit
M050,62.5,3230.0,85.8,4.7,Cardio
M051,58.2,1850.0,89.9,4.9,CrossFit
M052,57.9,2870.0,77.9,2.8,Cardio
M053,44.5,1680.0,80.4,2.2,CrossFit
M054,62.9,1950.0,76.2,1.2,Cardio
M055,74.3,1150.0,71.5,1.3,Cardio
M056,54.4,1730.0,87.5,2.5,Cardio
M057,44.0,2130.0,80.4,1.5,Yoga
M058,39.5,1850.0,90.7,5.9,Cardio
M059,57.3,2830.0,83.9,2.6,Cardio
M060,51.7,4660.0,91.3,2.2,Yoga
M061,53.7,3620.0,85.1,5.3,Cardio
M062,55.1,1740.0,81.7,1.9,Weights
M063,37.3,1440.0,87.6,2.1,Weights
M064,64.4,1490.0,83.4,1.9,Cardio
M065,57.8,1290.0,80.0,1.6,CrossFit
M066,54.1,2030.0,87.5,5.1,Weights
M067,57.8,2420.0,88.3,3.1,Cardio
M068,66.1,2170.0,86.1,6.6,Yoga
M069,55.6,2180.0,80.5,4.8,Yoga
M070,44.8,2150.0,92.8,6.4,Cardio
M071,69.0,1880.0,89.6,4.1,Cardio
M072,49.8,1430.0,85.1,5.8,CrossFit
M073,46.3,4340.0,89.7,6.2,Weights
M074,36.3,3200.0,84.5,4.9,Weights
M075,55.1,1330.0,82.3,5.7,Weights
M076,42.4,1330.0,79.4,5.4,Yoga
M077,48.8,1530.0,88.0,2.3,Weights
M078,60.4,2030.0,83.9,0.9,Yoga
M079,55.4,3520.0,92.3,6.0,Weights
