student_id,exam_score,monthly_allowance_inr,quiz_score,weekly_study_hours,preferred_language
S001,68.85,4180.0,12.89,5.16,Java
S002,62.2,5110.0,14.6,6.09,Python
S003,74.49,2900.0,14.78,5.72,Python
S004,57.96,9290.0,10.74,5.34,Java
S005,73.6,2690.0,16.03,3.81,Java
S006,76.93,2480.0,15.07,5.71,Python
S007,76.64,6390.0,11.08,7.82,JavaScript
S008,86.42,5520.0,17.13,7.02,Python
S009,78.31,5160.0,16.73,7.39,Python
S010,83.32,5170.0,15.09,4.23,JavaScript
S011,62.11,4000.0,9.54,3.52,Python
S012,76.28,2810.0,12.38,19.15,Java
S013,75.58,4150.0,15.8,17.82,Python
S014,79.11,3070.0,16.95,13.85,Python
S015,77.34,5940.0,15.55,19.07,JavaScript
S016,70.17,3790.0,17.12,7.29,Python
S017,75.64,2890.0,13.15,4.76,JavaScript
S018,70.11,3540.0,10.19,4.36,Python
S019,77.04,4750.0,11.12,15.3,Python
S020,80.99,3210.0,17.07,20.63,Python
S021,66.06,2900.0,12.58,6.23,Java
S022,73.85,4440.0,14.41,5.11,Python
S023,85.15,4440.0,16.71,3.07,C++
S024,71.81,3290.0,16.41,3.06,Python
S025,75.4,3330.0,10.97,20.35,JavaScript
S026,70.93,4420.0,13.07,16.71,Python
S027,74.87,2250.0,16.43,4.61,C++
S028,61.39,2290.0,12.76,16.84,C++
S029,79.13,3020.0,15.99,16.91,C++
S030,66.33,3690.0,14.76,4.59,C++
S031,76.1,4560.0,15.39,0.95,C++
S032,84.04,7260.0,15.73,4.92,Java
S033,61.56,5670.0,13.97,4.65,Python
S034,69.16,3770.0,15.68,6.04,Python
S035,71.53,3990.0,12.59,7.77,JavaScript
S036,64.23,2690.0,15.29,6.69,Java
S037,67.02,3990.0,16.1,4.6,C++
S038,88.29,3590.0,18.67,18.49,Python
S039,72.37,4580.0,13.86,8.86,Python
S040,77.98,2890.0,11.47,5.09,Python
S041,72.4,4950.0,15.37,5.02,Java
S042,63.0,7430.0,9.02,20.22,Python
S043,79.55,3850.0,15.77,5.3,Python
S044,64.25,4730.0,12.26,4.78,Python
S045,74.13,5300.0,16.12,16.71,Python
S046,68.05,3430.0,15.3,21.52,Java
S047,78.2,4400.0,15.72,23.75,Python
S048,79.75,4040.0,13.7,4.18,C++
S049,68.97,4180.0,14.0,3.93,Python
S050,72.75,2950.0,14.17,21.63,Python
S051,83.69,4060.0,16.82,21.95,Python
S052,77.18,4910.0,14.4,16.69,Python
S053,71.82,7190.0,15.29,16.95,Python
S054,57.71,5910.0,8.7,6.64,Python
S055,70.38,9520.0,13.68,14.64,Java
S056,86.03,2960.0,17.63,1.89,Python
S057,63.32,5700.0,16.61,4.49,Java
S058,72.39,4330.0,15.26,4.44,C++
S059,76.16,9660.0,13.06,2.89,C++
S060,61.18,2910.0,12.15,3.83,Python
S061,69.3,2880.0,10.79,3.33,Python
S062,66.5,3170.0,7.82,15.5,Python
S063,60.41,1720.0,15.45,6.4,Python
S064,81.09,3260.0,16.05,17.47,JavaScript
S065,72.96,2970.0,13.56,6.08,Python
S066,83.04,4270.0,17.27,3.31,Python
S067,78.13,4610.0,16.89,4.21,Java
S068,73.49,8520.0,17.33,5.73,Java
S069,78.77,5890.0,15.88,3.17,Java
S070,70.21,3190.0,10.2,6.07,Python
S071,65.97,2810.0,15.35,4.64,Python
S072,83.06,4900.0,17.4,24.14,Java
S073,67.5,2370.0,14.72,6.07,Python
S074,85.41,8370.0,15.87,16.67,Python
S075,67.21,6450.0,13.41,4.46,Python
S076,69.02,3340.0,14.23,16.61,Python
S077,76.16,2030.0,16.15,16.41,Python
S078,72.26,6920.0,12.7,20.97,Python
S079,56.86,3840.0,9.27,5.89,Java
S080,78.46,6600.0,17.17,4.54,Java
S081,76.45,2130.0,16.97,5.49,C++
S082,66.33,3170.0,9.66,19.18,Python
S083,63.62,4030.0,12.23,16.62,Python
S084,59.68,4100.0,14.6,19.58,Python
S085,76.31,3360.0,14.2,4.22,Java
S086,81.19,5160.0,15.64,14.21,Java
S087,71.42,2630.0,15.04,21.87,Python
S088,67.22,3800.0,14.73,2.89,JavaScript
S089,67.04,4220.0,15.92,2.67,Python
S090,64.82,4940.0,17.19,17.03,Java
S091,70.32,5350.0,11.42,18.71,Java
S092,78.17,2570.0,16.91,18.84,C++
S093,71.23,2180.0,15.72,1.88,Java
S094,68.81,6710.0,13.05,23.03,C++
S095,83.22,4600.0,14.84,5.32,Python
S096,72.38,2980.0,16.24,4.85,C++
S097,74.61,7480.0,12.18,4.18,Python
S098,69.45,4210.0,14.48,16.17,JavaScript
S099,77.91,6450.0,16.43,17.92,Java
S100,75.4,4130.0,12.81,6.65,C++
S101,67.52,9180.0,14.2,5.17,Python
S102,60.6,8120.0,12.77,18.56,Java
S103,85.15,3640.0,16.41,4.45,Java
S104,66.54,5940.0,13.71,20.97,C++
S105,55.36,5210.0,16.87,5.46,Python
S106,64.05,6960.0,14.34,2.43,Python
S107,62.89,2740.0,12.6,2.98,Python
S108,71.75,5290.0,15.93,6.11,Python
S109,78.41,6140.0,15.93,19.7,C++
S110,75.25,1990.0,15.66,4.72,Python
S111,61.43,2510.0,3.57,5.03,JavaScript
S112,72.41,1780.0,10.04,17.1,Python
S113,71.78,3610.0,16.46,4.19,Python
S114,75.14,5360.0,12.89,3.83,C++
S115,74.92,7340.0,16.54,20.05,Java
S116,76.58,4140.0,16.22,19.27,Python
S117,73.85,7720.0,13.52,5.61,Java
S118,54.3,2320.0,8.53,20.92,Java
S119,86.09,2040.0,17.84,21.46,Python
S120,73.96,3940.0,16.58,5.71,JavaScript
S121,78.14,4690.0,16.07,5.38,JavaScript
S122,65.43,3970.0,14.19,18.37,Java
S123,81.84,1760.0,16.57,21.02,Python
S124,77.64,3880.0,14.9,6.52,Java
S125,57.82,2390.0,9.51,18.92,Python
S126,78.09,5260.0,17.39,17.02,Python
S127,53.12,4660.0,9.27,4.06,Python
S128,84.66,2760.0,16.92,5.04,Python
S129,65.16,3280.0,9.46,5.78,C++
S130,66.18,2630.0,14.24,18.12,C++
S131,78.93,3920.0,16.34,5.28,C++
S132,98.98,5900.0,18.47,19.87,Python
S133,78.01,2710.0,13.59,19.61,Python
S134,64.92,4920.0,6.92,23.41,Python
S135,74.76,3250.0,15.62,3.62,JavaScript
S136,66.33,2930.0,7.62,18.55,Python
S137,63.51,3860.0,10.96,3.54,C++
S138,77.59,2660.0,16.78,21.94,Java
S139,72.56,3220.0,13.14,3.58,Python
S140,72.78,2490.0,13.8,8.95,C++
S141,68.96,8830.0,14.94,19.52,Python
S142,64.62,4080.0,7.42,5.28,C++
S143,63.03,3040.0,4.12,3.71,JavaScript
S144,71.13,4380.0,15.46,18.49,Python
S145,72.04,3850.0,12.87,20.68,Python
S146,75.16,3680.0,14.42,15.43,Java
S147,73.44,5140.0,16.47,18.33,JavaScript
S148,71.72,5450.0,12.53,4.86,Python
S149,64.43,3250.0,12.27,6.72,Java
S150,63.99,3200.0,13.0,3.95,Java
S151,79.9,3600.0,15.76,4.95,C++
S152,64.53,1600.0,13.17,18.94,Python
S153,71.76,2190.0,14.65,21.91,Java
S154,64.7,6950.0,9.61,7.72,JavaScript
S155,68.7,7770.0,12.64,6.06,Python
S156,69.9,3640.0,16.04,22.7,Python
S157,63.28,5070.0,13.22,5.95,JavaScript
S158,62.44,4560.0,10.5,12.5,Python
S159,68.08,13790.0,12.06,5.93,C++
S160,70.08,6300.0,13.41,16.74,Python
